,playerID,yearID,LastOfteamID,nameFirst,nameLast,weight,height,bats,lgID,G,H,AB,HR,RBI,SB,R,2B,3B,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,debut,birthCountry,prim_pos,other_pos,BA,OBP,1B,SLG,OPS,BA_Scaled,HR_Scaled,R_Scaled,RBI_Scaled,SB_Scaled,Penalty,AdjStars
368,doziebr01,2016,MIN,Brian,Dozier,200,71,R,AL,155.0,165.0,615.0,42.0,99.0,18.0,104.0,35.0,5.0,2.0,61.0,138.0,6.0,8.0,2.0,5.0,12.0,0.0,0.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2012-05-07,USA,2b,['2b'],0.2682926829268293,0.33962264150943394,83.0,0.5463414634146342,0.8859641049240681,0.4024390243902439,0.8936170212765957,0.8455284552845529,0.7443609022556391,0.2903225806451613,1.0,3.1762679838521928
37,altuvjo01,2016,HOU,Jose,Altuve,165,66,R,AL,161.0,216.0,640.0,24.0,96.0,30.0,108.0,42.0,5.0,10.0,60.0,70.0,11.0,7.0,3.0,7.0,15.0,0.0,0.0,0.0,148.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,2011-07-20,Venezuela,2b,"['2b', 'dh']",0.3375,0.3963585434173669,145.0,0.53125,0.9276085434173669,0.5062500000000001,0.5106382978723404,0.8780487804878049,0.7218045112781954,0.4838709677419355,1.0,3.100612557380276
216,canoro01,2016,SEA,Robinson,Cano,210,72,L,AL,161.0,195.0,655.0,39.0,103.0,0.0,107.0,33.0,2.0,1.0,47.0,100.0,8.0,8.0,0.0,5.0,18.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2005-05-03,D.R.,2b,['2b'],0.29770992366412213,0.34965034965034963,121.0,0.5328244274809161,0.8824747771312658,0.44656488549618323,0.8297872340425532,0.8699186991869918,0.7744360902255639,0.0,1.0,2.920706908951292
737,kinslia01,2016,DET,Ian,Kinsler,200,72,R,AL,153.0,178.0,618.0,28.0,83.0,14.0,117.0,29.0,4.0,6.0,45.0,115.0,0.0,13.0,0.0,3.0,5.0,0.0,0.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2006-04-03,USA,2b,['2b'],0.28802588996763756,0.3475699558173785,117.0,0.48381877022653724,0.8313887260439157,0.43203883495145634,0.5957446808510638,0.9512195121951219,0.6240601503759399,0.22580645161290322,1.0,2.828869629986485
1270,segurje01,2016,ARI,Jean,Segura,205,70,R,NL,153.0,203.0,637.0,20.0,64.0,33.0,102.0,41.0,7.0,10.0,39.0,101.0,1.0,12.0,4.0,2.0,6.0,0.0,0.0,0.0,142.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,2012-07-24,D.R.,2b,"['2b', 'ss']",0.31868131868131866,0.3681159420289855,135.0,0.49921507064364207,0.8673310126726276,0.478021978021978,0.425531914893617,0.8292682926829268,0.48120300751879697,0.532258064516129,1.0,2.746283257633448
951,odorro01,2016,TEX,Rougned,Odor,195,71,L,AL,150.0,164.0,605.0,33.0,88.0,14.0,89.0,33.0,4.0,7.0,19.0,135.0,0.0,4.0,0.0,4.0,6.0,0.0,0.0,0.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2014-05-08,Venezuela,2b,['2b'],0.27107438016528923,0.2958860759493671,94.0,0.5024793388429752,0.7983654147923424,0.4066115702479339,0.7021276595744681,0.7235772357723578,0.6616541353383458,0.22580645161290322,1.0,2.719777052546009
923,murphda08,2016,WAS,Daniel,Murphy,215,73,L,NL,142.0,184.0,531.0,25.0,104.0,5.0,88.0,47.0,5.0,3.0,35.0,57.0,10.0,8.0,0.0,8.0,4.0,0.0,0.0,21.0,117.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2008-08-02,USA,2b,"['1b', '2b']",0.3465160075329567,0.3900343642611684,107.0,0.5951035781544256,0.9851379424155939,0.5197740112994351,0.5319148936170213,0.7154471544715447,0.7819548872180451,0.08064516129032258,1.0,2.6297361078963686
743,kipnija01,2016,CLE,Jason,Kipnis,195,71,L,AL,156.0,168.0,610.0,23.0,82.0,15.0,91.0,41.0,4.0,3.0,60.0,146.0,0.0,6.0,5.0,7.0,21.0,0.0,0.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2011-07-22,USA,2b,['2b'],0.2754098360655738,0.34260614934114203,100.0,0.46885245901639344,0.8114586083575355,0.4131147540983607,0.48936170212765956,0.7398373983739838,0.6165413533834586,0.24193548387096775,1.0,2.500790691854431
1007,pedrodu01,2016,BOS,Dustin,Pedroia,175,69,R,AL,154.0,201.0,633.0,15.0,74.0,7.0,105.0,36.0,1.0,4.0,61.0,73.0,0.0,0.0,1.0,3.0,24.0,0.0,0.0,0.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006-08-22,USA,2b,['2b'],0.3175355450236967,0.37589670014347204,149.0,0.4486571879936809,0.8245538881371529,0.47630331753554506,0.3191489361702128,0.8536585365853658,0.556390977443609,0.11290322580645161,1.0,2.318404993541184
763,lemahdj01,2016,COL,DJ,LeMahieu,215,76,R,NL,146.0,192.0,552.0,11.0,66.0,11.0,104.0,32.0,8.0,7.0,66.0,80.0,2.0,3.0,8.0,6.0,19.0,0.0,0.0,0.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2011-05-30,USA,2b,['2b'],0.34782608695652173,0.41626794258373206,141.0,0.4945652173913043,0.9108331599750363,0.5217391304347826,0.23404255319148937,0.8455284552845529,0.49624060150375937,0.1774193548387097,1.0,2.274970095253294
