,playerID,yearID,LastOfteamID,nameFirst,nameLast,weight,height,bats,lgID,G,H,AB,HR,RBI,SB,R,2B,3B,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,prim_pos,other_pos,BA,OBP,1B,SLG,OPS,BA_Scaled,HR_Scaled,R_Scaled,RBI_Scaled,SB_Scaled,Penalty,AdjStars
59,arenano01,2016,COL,Nolan,Arenado,205,74,R,NL,160.0,182.0,618.0,41.0,133.0,2.0,116.0,35.0,6.0,3.0,68.0,103.0,10.0,2.0,0.0,8.0,17.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,3b,['3b'],0.29449838187702265,0.3620689655172414,100.0,0.56957928802589,0.9316482535431314,0.441747572815534,0.8723404255319149,0.943089430894309,1.0,0.03225806451612903,1.0,3.289435493757887
174,bryankr01,2016,CHN,Kris,Bryant,230,77,R,NL,155.0,176.0,603.0,39.0,102.0,8.0,121.0,35.0,3.0,5.0,75.0,154.0,5.0,18.0,0.0,3.0,3.0,0.0,0.0,9.0,0.0,107.0,1.0,60.0,1.0,14.0,69.0,1.0,3b,"['3b', 'lf', 'rf', 'of']",0.29187396351575456,0.38483547925608014,99.0,0.5538971807628524,0.9387326600189325,0.43781094527363185,0.8297872340425532,0.983739837398374,0.7669172932330827,0.12903225806451613,1.0,3.1472875680121577
363,donaljo02,2016,TOR,Josh,Donaldson,210,73,R,AL,155.0,164.0,577.0,37.0,99.0,7.0,122.0,32.0,5.0,1.0,109.0,119.0,6.0,9.0,2.0,3.0,16.0,0.0,0.0,0.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,19.0,3b,"['3b', 'dh']",0.28422876949740034,0.4040114613180516,90.0,0.5493934142114385,0.9534048755294902,0.42634315424610053,0.7872340425531915,0.991869918699187,0.7443609022556391,0.11290322580645161,1.0,3.0627112435605697
459,frazito01,2016,CHA,Todd,Frazier,220,75,R,AL,158.0,133.0,590.0,40.0,98.0,15.0,89.0,21.0,0.0,5.0,64.0,163.0,1.0,4.0,1.0,7.0,11.0,0.0,0.0,7.0,0.0,149.0,0.0,0.0,0.0,0.0,0.0,2.0,3b,['3b'],0.22542372881355932,0.3022556390977444,72.0,0.46440677966101696,0.7666624187587614,0.338135593220339,0.851063829787234,0.7235772357723578,0.7368421052631579,0.24193548387096775,1.0,2.8915542479140566
797,machama01,2016,BAL,Manny,Machado,185,75,R,AL,157.0,188.0,640.0,37.0,96.0,0.0,105.0,40.0,1.0,3.0,48.0,120.0,9.0,3.0,0.0,5.0,14.0,0.0,0.0,0.0,0.0,114.0,45.0,0.0,0.0,0.0,0.0,0.0,3b,"['3b', 'ss']",0.29375,0.34339080459770116,110.0,0.5328125,0.8762033045977011,0.44062500000000004,0.7872340425531915,0.8536585365853658,0.7218045112781954,0.0,1.0,2.803322090416753
105,beltrad01,2016,TEX,Adrian,Beltre,220,71,R,AL,153.0,175.0,583.0,32.0,104.0,1.0,89.0,31.0,1.0,1.0,48.0,66.0,6.0,6.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,141.0,0.0,0.0,0.0,0.0,0.0,12.0,3b,"['3b', 'dh']",0.30017152658662094,0.3578125,111.0,0.5214408233276158,0.8792533233276157,0.4502572898799314,0.6808510638297872,0.7235772357723578,0.7819548872180451,0.016129032258064516,1.0,2.652769508958186
1268,seageky01,2016,SEA,Kyle,Seager,210,72,L,AL,158.0,166.0,597.0,30.0,99.0,3.0,89.0,36.0,3.0,1.0,69.0,108.0,10.0,8.0,0.0,2.0,18.0,0.0,0.0,0.0,0.0,156.0,0.0,0.0,0.0,0.0,0.0,2.0,3b,['3b'],0.2780569514237856,0.3594674556213018,97.0,0.4991624790619765,0.8586299346832783,0.4170854271356784,0.6382978723404256,0.7235772357723578,0.7443609022556391,0.04838709677419355,1.0,2.5717085342782946
778,longoev01,2016,TBA,Evan,Longoria,210,74,R,AL,160.0,173.0,633.0,36.0,98.0,0.0,81.0,41.0,4.0,3.0,42.0,144.0,6.0,3.0,0.0,7.0,13.0,0.0,0.0,0.0,0.0,152.0,0.0,0.0,0.0,0.0,0.0,8.0,3b,['3b'],0.27330173775671407,0.3182481751824818,92.0,0.5213270142180095,0.8395751894004913,0.4099526066350711,0.7659574468085106,0.6585365853658537,0.7368421052631579,0.0,1.0,2.5712887440725933
753,lambja01,2016,ARI,Jake,Lamb,215,75,L,NL,151.0,130.0,523.0,29.0,91.0,6.0,81.0,31.0,9.0,1.0,64.0,154.0,5.0,3.0,0.0,4.0,13.0,0.0,0.0,0.0,0.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,3b,['3b'],0.248565965583174,0.33164983164983164,61.0,0.5086042065009561,0.8402540381507877,0.372848948374761,0.6170212765957447,0.6585365853658537,0.6842105263157895,0.0967741935483871,1.0,2.4293915302005358
1149,rendoan01,2016,WAS,Anthony,Rendon,210,73,R,NL,156.0,153.0,567.0,20.0,85.0,12.0,91.0,38.0,2.0,6.0,65.0,117.0,2.0,7.0,0.0,8.0,5.0,0.0,0.0,0.0,0.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,3b,['3b'],0.2698412698412698,0.34775888717156106,93.0,0.4497354497354497,0.7974943369070108,0.40476190476190477,0.425531914893617,0.7398373983739838,0.6390977443609023,0.1935483870967742,1.0,2.4027773494871822
