,playerID,yearID,LastOfteamID,nameFirst,nameLast,G,H,AB,HR,RBI,SB,R,2B,3B,CS,BB,SO,IBB,HBP,SH,SF,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,prim_pos,other_pos,BA,OBP,1B,SLG,OPS,BA_Scaled,HR_Scaled,R_Scaled,RBI_Scaled,SB_Scaled,Penalty,AdjStars
1311,encared01,2016,TOR,Edwin,Encarnacion,160.0,158.0,601.0,42.0,127.0,2.0,99.0,34.0,0.0,0.0,87.0,138.0,3.0,5.0,0.0,8,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,dh,"['1b', 'dh']",0.2628951747088186,0.3566333808844508,82.0,0.5291181364392679,0.8857515173237187,0.39434276206322794,0.8936170212765957,0.8048780487804879,0.9548872180451128,0.03225806451612903,1.0,3.0799831146815535
1707,goldspa01,2016,ARI,Paul,Goldschmidt,158.0,172.0,579.0,24.0,95.0,32.0,106.0,33.0,3.0,5.0,110.0,150.0,15.0,7.0,0.0,8,0.0,0.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1b,['1b'],0.2970639032815199,0.41051136363636365,112.0,0.48877374784110533,0.8992851114774689,0.4455958549222798,0.5106382978723404,0.8617886178861789,0.7142857142857143,0.5161290322580645,1.0,3.0484375172245777
3191,myerswi01,2016,SDN,Wil,Myers,157.0,155.0,599.0,28.0,94.0,28.0,99.0,29.0,4.0,6.0,68.0,160.0,1.0,4.0,0.0,5,0.0,0.0,149.0,0.0,1.0,0.0,3.0,0.0,7.0,10.0,0.0,1b,"['1b', 'of']",0.2587646076794658,0.33579881656804733,94.0,0.4607679465776294,0.7965667631456768,0.3881469115191987,0.5957446808510638,0.8048780487804879,0.706766917293233,0.45161290322580644,1.0,2.94714946166979
591,cabremi01,2016,DET,Miguel,Cabrera,158.0,188.0,595.0,38.0,108.0,0.0,92.0,31.0,1.0,0.0,75.0,116.0,15.0,4.0,0.0,5,0.0,0.0,147.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,1b,['1b'],0.31596638655462184,0.39322533136966126,118.0,0.5630252100840336,0.9562505414536948,0.47394957983193275,0.8085106382978723,0.7479674796747967,0.8120300751879699,0.0,1.0,2.8424577729925717
1516,freemfr01,2016,ATL,Freddie,Freeman,158.0,178.0,589.0,34.0,91.0,6.0,102.0,43.0,6.0,1.0,89.0,171.0,18.0,10.0,0.0,5,0.0,0.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1b,['1b'],0.30220713073005095,0.3997113997113997,95.0,0.568760611205433,0.9684720109168327,0.45331069609507646,0.723404255319149,0.8292682926829268,0.6842105263157895,0.0967741935483871,1.0,2.7869679639613287
4886,vottojo01,2016,CIN,Joey,Votto,158.0,181.0,556.0,29.0,97.0,8.0,101.0,34.0,2.0,1.0,108.0,120.0,15.0,5.0,0.0,8,0.0,0.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1b,['1b'],0.3255395683453237,0.4342688330871492,116.0,0.5503597122302158,0.9846285453173651,0.4883093525179856,0.6170212765957447,0.8211382113821138,0.7293233082706767,0.12903225806451613,1.0,2.784824406831037
3946,rizzoan01,2016,CHN,Anthony,Rizzo,155.0,170.0,583.0,32.0,109.0,3.0,94.0,43.0,4.0,5.0,74.0,108.0,8.0,16.0,0.0,3,0.0,0.0,154.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1b,['1b'],0.2915951972555746,0.38461538461538464,91.0,0.5437392795883362,0.9283546642037208,0.4373927958833619,0.6808510638297872,0.7642276422764228,0.8195488721804511,0.04838709677419355,1.0,2.7504074709442166
3792,ramirha01,2016,BOS,Hanley,Ramirez,147.0,157.0,549.0,30.0,111.0,9.0,81.0,28.0,1.0,3.0,60.0,120.0,5.0,7.0,0.0,4,0.0,0.0,133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1b,"['1b', 'dh']",0.2859744990892532,0.36129032258064514,98.0,0.5045537340619308,0.865844056642576,0.4289617486338798,0.6382978723404256,0.6585365853658537,0.8345864661654135,0.14516129032258066,1.0,2.7055439628281532
3198,napolmi01,2016,CLE,Mike,Napoli,150.0,133.0,557.0,34.0,101.0,5.0,92.0,22.0,1.0,1.0,78.0,194.0,2.0,5.0,0.0,5,0.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,1b,"['1b', 'dh']",0.23877917414721722,0.33488372093023255,76.0,0.4649910233393178,0.7998747442695504,0.35816876122082586,0.723404255319149,0.7479674796747967,0.7593984962406015,0.08064516129032258,1.0,2.6695841537456957
676,cartech02,2016,MIL,Chris,Carter,160.0,122.0,549.0,41.0,94.0,3.0,84.0,27.0,1.0,1.0,76.0,206.0,1.0,9.0,0.0,10,0.0,0.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1b,['1b'],0.2222222222222222,0.32142857142857145,53.0,0.4990892531876138,0.8205178246161853,0.3333333333333333,0.8723404255319149,0.6829268292682927,0.706766917293233,0.04838709677419355,1.0,2.6437546022009677
