,playerID,yearID,LastOfteamID,nameFirst,nameLast,G,H,AB,HR,RBI,SB,R,2B,3B,CS,BB,SO,IBB,HBP,SH,SF,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,prim_pos,other_pos,BA,OBP,1B,SLG,OPS,BA_Scaled,HR_Scaled,R_Scaled,RBI_Scaled,SB_Scaled,Penalty,AdjStars
349,bettsmo01,2016,BOS,Mookie,Betts,158.0,214.0,672.0,31.0,113.0,26.0,122.0,42.0,5.0,4.0,49.0,80.0,1.0,2.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,157.0,0.0,rf,"['rf', 'of']",0.31845238095238093,0.363013698630137,136.0,0.5342261904761905,0.8972398891063275,0.4776785714285714,0.6595744680851063,0.991869918699187,0.849624060150376,0.41935483870967744,1.0,3.398101857072918
4717,troutmi01,2016,LAA,Mike,Trout,159.0,173.0,549.0,29.0,100.0,30.0,123.0,32.0,5.0,7.0,116.0,137.0,12.0,11.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0,148.0,11.0,cf,"['cf', 'of', 'dh']",0.3151183970856102,0.44052863436123346,107.0,0.5500910746812386,0.9906197090424721,0.47267759562841527,0.6170212765957447,1.0,0.7518796992481203,0.4838709677419355,1.0,3.3254495392142163
506,bryankr01,2016,CHN,Kris,Bryant,155.0,176.0,603.0,39.0,102.0,8.0,121.0,35.0,3.0,5.0,75.0,154.0,5.0,18.0,0.0,3,0.0,0.0,9.0,0.0,107.0,1.0,60.0,1.0,14.0,69.0,1.0,3b,"['3b', 'lf', 'rf', 'of']",0.29187396351575456,0.38483547925608014,99.0,0.5538971807628524,0.9387326600189325,0.43781094527363185,0.8297872340425532,0.983739837398374,0.7669172932330827,0.12903225806451613,1.0,3.1472875680121577
4724,trumbma01,2016,BAL,Mark,Trumbo,159.0,157.0,613.0,47.0,108.0,2.0,94.0,27.0,1.0,0.0,51.0,170.0,1.0,3.0,0.0,0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,95.0,96.0,59.0,of,"['rf', 'of', 'dh']",0.2561174551386623,0.31634182908545727,82.0,0.533442088091354,0.8497839171768112,0.3841761827079935,1.0,0.7642276422764228,0.8120300751879699,0.03225806451612903,1.0,2.9926919646885155
972,cruzne02,2016,SEA,Nelson,Cruz,155.0,169.0,589.0,43.0,105.0,2.0,96.0,27.0,1.0,0.0,62.0,159.0,5.0,9.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,48.0,107.0,dh,"['rf', 'of', 'dh']",0.2869269949066214,0.3598200899550225,98.0,0.5551782682512734,0.9149983582062959,0.4303904923599321,0.9148936170212766,0.7804878048780488,0.7894736842105263,0.03225806451612903,1.0,2.947503662985913
3191,myerswi01,2016,SDN,Wil,Myers,157.0,155.0,599.0,28.0,94.0,28.0,99.0,29.0,4.0,6.0,68.0,160.0,1.0,4.0,0.0,5,0.0,0.0,149.0,0.0,1.0,0.0,3.0,0.0,7.0,10.0,0.0,1b,"['1b', 'of']",0.2587646076794658,0.33579881656804733,94.0,0.4607679465776294,0.7965667631456768,0.3881469115191987,0.5957446808510638,0.8048780487804879,0.706766917293233,0.45161290322580644,1.0,2.94714946166979
357,blackch02,2016,COL,Charlie,Blackmon,143.0,187.0,578.0,29.0,82.0,17.0,111.0,35.0,5.0,9.0,43.0,102.0,4.0,13.0,3.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,0.0,138.0,0.0,cf,"['cf', 'of']",0.3235294117647059,0.38087774294670845,118.0,0.5519031141868512,0.9327808571335596,0.4852941176470589,0.6170212765957447,0.9024390243902439,0.6165413533834586,0.27419354838709675,1.0,2.8954893204036027
1123,desmoia01,2016,TEX,Ian,Desmond,156.0,178.0,625.0,22.0,86.0,21.0,107.0,29.0,3.0,6.0,44.0,160.0,2.0,5.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,29.0,130.0,0.0,156.0,0.0,of,"['lf', 'cf', 'of']",0.2848,0.3353028064992615,124.0,0.4464,0.7817028064992615,0.4272,0.46808510638297873,0.8699186991869918,0.6466165413533834,0.3387096774193548,1.0,2.750530024342709
1039,daviskh01,2016,OAK,Khris,Davis,150.0,137.0,555.0,42.0,102.0,1.0,85.0,24.0,2.0,2.0,42.0,166.0,0.0,8.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,93.0,53.0,lf,"['lf', 'of', 'dh']",0.24684684684684685,0.30655737704918035,69.0,0.5243243243243243,0.8308817013735046,0.3702702702702703,0.8936170212765957,0.6910569105691057,0.7669172932330827,0.016129032258064516,1.0,2.737990527607119
4489,springe01,2016,HOU,George,Springer,162.0,168.0,644.0,29.0,82.0,9.0,116.0,29.0,5.0,10.0,88.0,178.0,2.0,11.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,147.0,148.0,12.0,of,"['rf', 'of', 'dh']",0.2608695652173913,0.3588709677419355,105.0,0.45652173913043476,0.8153927068723703,0.391304347826087,0.6170212765957447,0.943089430894309,0.6165413533834586,0.14516129032258066,1.0,2.7131176990221797
