,playerID,yearID,LastOfteamID,nameFirst,nameLast,weight,height,bats,lgID,G,H,AB,HR,RBI,SB,R,2B,3B,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,prim_pos,other_pos,BA,OBP,1B,SLG,OPS,BA_Scaled,HR_Scaled,R_Scaled,RBI_Scaled,SB_Scaled,Penalty,AdjStars
1377,troutmi01,2016,LAA,Mike,Trout,235,74,R,AL,159.0,173.0,549.0,29.0,100.0,30.0,123.0,32.0,5.0,7.0,116.0,137.0,12.0,11.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0,148.0,11.0,cf,"['cf', 'of', 'dh']",0.3151183970856102,0.44052863436123346,107.0,0.5500910746812386,0.9906197090424721,0.47267759562841527,0.6170212765957447,1.0,0.7518796992481203,0.4838709677419355,1.0,3.3254495392142163
119,blackch02,2016,COL,Charlie,Blackmon,210,75,L,NL,143.0,187.0,578.0,29.0,82.0,17.0,111.0,35.0,5.0,9.0,43.0,102.0,4.0,13.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,0.0,138.0,0.0,cf,"['cf', 'of']",0.3235294117647059,0.38087774294670845,118.0,0.5519031141868512,0.9327808571335596,0.4852941176470589,0.6170212765957447,0.9024390243902439,0.6165413533834586,0.27419354838709675,1.0,2.8954893204036027
145,bradlja02,2016,BOS,Jackie,Bradley,200,70,L,AL,156.0,149.0,558.0,26.0,87.0,9.0,94.0,30.0,7.0,2.0,63.0,143.0,5.0,10.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.0,0.0,156.0,0.0,cf,"['cf', 'of']",0.2670250896057348,0.3490566037735849,86.0,0.48566308243727596,0.8347196862108608,0.4005376344086022,0.5531914893617021,0.7642276422764228,0.6541353383458647,0.14516129032258066,1.0,2.5172533947151723
705,jonesad01,2016,BAL,Adam,Jones,215,74,R,AL,152.0,164.0,619.0,29.0,83.0,2.0,86.0,19.0,0.0,0.0,39.0,115.0,2.0,5.0,1.0,8.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,0.0,152.0,0.0,cf,"['cf', 'of']",0.2649434571890145,0.30998509687034276,116.0,0.43618739903069464,0.7461724959010374,0.3974151857835218,0.6170212765957447,0.6991869918699187,0.6240601503759399,0.03225806451612903,1.0,2.3699416691412543
868,mccutan01,2016,PIT,Andrew,McCutchen,195,70,R,NL,153.0,153.0,598.0,24.0,79.0,6.0,81.0,26.0,3.0,7.0,69.0,143.0,7.0,5.0,0.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,0.0,151.0,0.0,cf,"['cf', 'of']",0.25585284280936454,0.3362962962962963,100.0,0.4297658862876254,0.7660621825839218,0.38377926421404684,0.5106382978723404,0.6585365853658537,0.5939849624060151,0.0967741935483871,1.0,2.243713303406643
640,herreod01,2016,PHI,Odubel,Herrera,200,71,L,NL,159.0,167.0,583.0,15.0,49.0,25.0,87.0,21.0,6.0,7.0,63.0,134.0,7.0,6.0,2.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,0.0,155.0,0.0,cf,"['cf', 'of']",0.2864493996569468,0.36085626911314983,125.0,0.4202401372212693,0.7810964063344191,0.42967409948542024,0.3191489361702128,0.7073170731707317,0.3684210526315789,0.4032258064516129,1.0,2.2277869679095565
593,hamilbi02,2016,CIN,Billy,Hamilton,160,72,B,NL,119.0,107.0,411.0,3.0,17.0,58.0,69.0,19.0,3.0,8.0,36.0,93.0,0.0,1.0,11.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,115.0,0.0,cf,"['cf', 'of']",0.26034063260340634,0.3207126948775056,82.0,0.34306569343065696,0.6637783883081625,0.3905109489051095,0.06382978723404255,0.5609756097560976,0.12781954887218044,0.9354838709677419,1.0,2.078619765735172
1388,turnetr01,2016,WAS,Trea,Turner,185,73,R,NL,73.0,105.0,307.0,13.0,40.0,33.0,53.0,14.0,8.0,6.0,14.0,59.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,30.0,0.0,2.0,0.0,45.0,0.0,45.0,0.0,cf,"['2b', 'cf', 'of']",0.34201954397394135,0.37037037037037035,70.0,0.5667752442996743,0.9371456146700446,0.5130293159609121,0.2765957446808511,0.43089430894308944,0.3007518796992481,0.532258064516129,1.0,2.0535293138002295
1001,pederjo01,2016,LAN,Joc,Pederson,220,73,L,NL,137.0,100.0,406.0,25.0,68.0,6.0,64.0,26.0,0.0,2.0,63.0,130.0,4.0,4.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,132.0,0.0,cf,"['cf', 'of']",0.24630541871921183,0.35157894736842105,49.0,0.49507389162561577,0.8466528389940369,0.3694581280788178,0.5319148936170213,0.5203252032520326,0.5112781954887218,0.0967741935483871,1.0,2.0297506139849806
829,martile01,2016,SEA,Leonys,Martin,200,74,L,AL,143.0,128.0,518.0,15.0,47.0,24.0,72.0,17.0,3.0,6.0,44.0,149.0,0.0,3.0,4.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,0.0,143.0,0.0,cf,"['cf', 'of']",0.2471042471042471,0.30594405594405594,93.0,0.3783783783783784,0.6843224343224343,0.3706563706563707,0.3191489361702128,0.5853658536585366,0.3533834586466165,0.3870967741935484,1.0,2.015651393325285
