,playerID,yearID,LastOfteamID,nameFirst,nameLast,weight,height,bats,lgID,G,H,AB,HR,RBI,SB,R,2B,3B,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,prim_pos,other_pos,BA,OBP,1B,SLG,OPS,BA_Scaled,HR_Scaled,R_Scaled,RBI_Scaled,SB_Scaled,Penalty,AdjStars
412,encared01,2016,TOR,Edwin,Encarnacion,230,73,R,AL,160.0,158.0,601.0,42.0,127.0,2.0,99.0,34.0,0.0,0.0,87.0,138.0,3.0,5.0,0.0,8.0,22.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,dh,"['1b', 'dh']",0.2628951747088186,0.3566333808844508,82.0,0.5291181364392679,0.8857515173237187,0.39434276206322794,0.8936170212765957,0.8048780487804879,0.9548872180451128,0.03225806451612903,1.0,3.0799831146815535
316,cruzne02,2016,SEA,Nelson,Cruz,230,74,R,AL,155.0,169.0,589.0,43.0,105.0,2.0,96.0,27.0,1.0,0.0,62.0,159.0,5.0,9.0,0.0,7.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,48.0,107.0,dh,"['rf', 'of', 'dh']",0.2869269949066214,0.3598200899550225,98.0,0.5551782682512734,0.9149983582062959,0.4303904923599321,0.9148936170212766,0.7804878048780488,0.7894736842105263,0.03225806451612903,1.0,2.947503662985913
965,ortizda01,2016,BOS,David,Ortiz,230,75,L,AL,151.0,169.0,537.0,38.0,127.0,2.0,79.0,48.0,1.0,0.0,80.0,86.0,15.0,2.0,0.0,7.0,22.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,dh,['dh'],0.31471135940409684,0.4009584664536741,82.0,0.6201117318435754,1.0210701982972494,0.4720670391061453,0.8085106382978723,0.6422764227642277,0.9548872180451128,0.03225806451612903,1.0,2.909999382729487
1105,pujolal01,2016,LAA,Albert,Pujols,240,75,R,AL,152.0,159.0,593.0,31.0,119.0,4.0,71.0,19.0,0.0,0.0,49.0,75.0,6.0,2.0,0.0,6.0,24.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,dh,"['1b', 'dh']",0.26812816188870153,0.3230769230769231,109.0,0.45699831365935917,0.7800752367362822,0.4021922428330523,0.6595744680851063,0.5772357723577236,0.8947368421052632,0.06451612903225806,1.0,2.5982554544134033
1242,santaca01,2016,CLE,Carlos,Santana,210,71,B,AL,158.0,151.0,582.0,34.0,87.0,5.0,89.0,31.0,3.0,2.0,99.0,99.0,0.0,2.0,0.0,5.0,18.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,dh,"['1b', 'dh']",0.25945017182130586,0.36627906976744184,83.0,0.49828178694158076,0.8645608567090226,0.3891752577319588,0.723404255319149,0.7235772357723578,0.6541353383458647,0.08064516129032258,1.0,2.5709372484596527
108,beltrca01,2016,TEX,Carlos,Beltran,215,73,B,AL,151.0,163.0,552.0,29.0,93.0,1.0,73.0,33.0,0.0,0.0,35.0,101.0,4.0,2.0,0.0,4.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,69.0,73.0,dh,"['rf', 'of', 'dh']",0.29528985507246375,0.3372681281618887,101.0,0.5126811594202898,0.8499492875821786,0.4429347826086956,0.6170212765957447,0.5934959349593496,0.6992481203007519,0.016129032258064516,1.0,2.3688291467226064
897,moralke01,2016,KCA,Kendrys,Morales,220,73,B,AL,154.0,147.0,558.0,30.0,93.0,0.0,65.0,24.0,0.0,0.0,48.0,120.0,2.0,7.0,0.0,5.0,20.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,138.0,dh,['dh'],0.26344086021505375,0.3268608414239482,93.0,0.46774193548387094,0.7946027769078192,0.3951612903225806,0.6382978723404256,0.5284552845528455,0.6992481203007519,0.0,1.0,2.2611625675166036
838,martivi01,2016,DET,Victor,Martinez,210,74,B,AL,154.0,160.0,553.0,27.0,86.0,0.0,65.0,22.0,0.0,0.0,50.0,90.0,8.0,4.0,0.0,3.0,19.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,dh,['dh'],0.28933092224231466,0.35081967213114756,111.0,0.4755877034358047,0.8264073755669523,0.433996383363472,0.574468085106383,0.5284552845528455,0.6466165413533834,0.0,1.0,2.183536294376084
503,gattiev01,2016,HOU,Evan,Gattis,270,76,R,AL,128.0,112.0,447.0,32.0,72.0,2.0,58.0,19.0,0.0,1.0,43.0,127.0,6.0,4.0,0.0,5.0,12.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,dh,"['c', 'dh']",0.2505592841163311,0.3186372745490982,61.0,0.5078299776286354,0.8264672521777335,0.37583892617449666,0.6808510638297872,0.4715447154471545,0.5413533834586466,0.03225806451612903,1.0,2.101846153426214
40,alvarpe01,2016,BAL,Pedro,Alvarez,250,75,L,AL,109.0,84.0,337.0,22.0,49.0,1.0,43.0,20.0,0.0,0.0,37.0,97.0,1.0,0.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,87.0,dh,"['3b', 'dh']",0.24925816023738873,0.32180851063829785,42.0,0.5044510385756676,0.8262595492139655,0.3738872403560831,0.46808510638297873,0.34959349593495936,0.3684210526315789,0.016129032258064516,1.0,1.5761159275636647
486,garciav01,2016,CHA,Avisail,Garcia,240,76,R,AL,120.0,101.0,413.0,12.0,51.0,4.0,59.0,18.0,2.0,4.0,34.0,115.0,0.0,4.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,46.0,55.0,63.0,dh,"['lf', 'rf', 'of', 'dh']",0.24455205811138014,0.3068432671081678,69.0,0.38498789346246975,0.6918311605706375,0.3668280871670702,0.2553191489361702,0.4796747967479675,0.38345864661654133,0.06451612903225806,1.0,1.5497968085000071
436,fieldpr01,2016,TEX,Prince,Fielder,275,71,L,AL,89.0,69.0,326.0,8.0,44.0,0.0,29.0,16.0,0.0,0.0,32.0,63.0,1.0,7.0,0.0,5.0,12.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,dh,['dh'],0.2116564417177914,0.2918918918918919,45.0,0.3343558282208589,0.6262477201127508,0.3174846625766871,0.1702127659574468,0.23577235772357724,0.3308270676691729,0.0,1.0,1.054296853926884
182,butlebi03,2016,OAK,Billy,Butler,260,72,R,AL,97.0,71.0,250.0,5.0,35.0,0.0,27.0,18.0,0.0,0.0,21.0,42.0,1.0,0.0,0.0,3.0,13.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,dh,"['1b', 'dh']",0.284,0.3357664233576642,48.0,0.416,0.7517664233576642,0.426,0.10638297872340426,0.21951219512195122,0.2631578947368421,0.0,0.82,0.8323435162374019
1174,rodrial01,2016,NYA,Alex,Rodriguez,230,75,R,AL,65.0,45.0,225.0,9.0,31.0,3.0,19.0,7.0,0.0,0.0,14.0,67.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,57.0,dh,['dh'],0.2,0.24691358024691357,29.0,0.3511111111111111,0.5980246913580247,0.30000000000000004,0.19148936170212766,0.15447154471544716,0.23308270676691728,0.04838709677419355,0.7300000000000001,0.6770244182698406
985,parkby01,2016,MIN,Byung Ho,Park,220,73,R,AL,62.0,41.0,215.0,12.0,24.0,1.0,28.0,9.0,1.0,0.0,21.0,80.0,0.0,5.0,0.0,3.0,3.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,dh,"['1b', 'dh']",0.19069767441860466,0.27459016393442626,19.0,0.40930232558139534,0.6838924895158216,0.286046511627907,0.2553191489361702,0.22764227642276422,0.18045112781954886,0.016129032258064516,0.6940000000000001,0.6701181393627317
905,morneju01,2016,CHA,Justin,Morneau,220,76,L,AL,58.0,53.0,203.0,6.0,25.0,0.0,16.0,14.0,1.0,0.0,12.0,52.0,1.0,1.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,dh,['dh'],0.26108374384236455,0.30275229357798167,32.0,0.42857142857142855,0.7313237221494102,0.3916256157635468,0.1276595744680851,0.13008130081300814,0.18796992481203006,0.0,0.6508,0.5449385394395209
1380,tuckepr01,2016,HOU,Preston,Tucker,215,72,L,AL,48.0,22.0,134.0,4.0,8.0,0.0,11.0,8.0,1.0,0.0,8.0,40.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,3.0,21.0,22.0,dh,"['lf', 'of', 'dh']",0.16417910447761194,0.2222222222222222,9.0,0.3283582089552239,0.550580431177446,0.24626865671641793,0.0851063829787234,0.08943089430894309,0.06015037593984962,0.0,0.4024000000000001,0.19353681912143908
328,davidma02,2016,CHA,Matt,Davidson,230,75,R,AL,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,dh,[],0.5,0.5,1.0,0.5,1.0,0.75,0.0,0.008130081300813009,0.007518796992481203,0.0,0.1,0.07656488782932942
808,mancitr01,2016,BAL,Trey,Mancini,215,76,R,AL,5.0,5.0,14.0,3.0,5.0,0.0,3.0,1.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,dh,[],0.35714285714285715,0.4,1.0,1.0714285714285714,1.4714285714285715,0.5357142857142858,0.06382978723404255,0.024390243902439025,0.03759398496240601,0.0,0.1,0.06615283018131735
