,playerID,yearID,LastOfteamID,nameFirst,nameLast,weight,height,bats,lgID,G,H,AB,HR,RBI,SB,R,2B,3B,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,debut,birthCountry,prim_pos,other_pos,BA,OBP,1B,SLG,OPS,BA_Scaled,HR_Scaled,R_Scaled,RBI_Scaled,SB_Scaled,Penalty,AdjStars
336,daviskh01,2016,OAK,Khris,Davis,195,70,R,AL,150.0,137.0,555.0,42.0,102.0,1.0,85.0,24.0,2.0,2.0,42.0,166.0,0.0,8.0,0.0,5.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,0.0,0.0,93.0,53.0,2013-04-01,USA,lf,"['lf', 'of', 'dh']",0.24684684684684685,0.30655737704918035,69.0,0.5243243243243243,0.8308817013735046,0.3702702702702703,0.8936170212765957,0.6910569105691057,0.7669172932330827,0.016129032258064516,1.0,2.737990527607119
157,braunry02,2016,MIL,Ryan,Braun,205,74,R,NL,135.0,156.0,511.0,30.0,91.0,16.0,80.0,23.0,3.0,5.0,46.0,98.0,10.0,4.0,0.0,3.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,127.0,0.0,2.0,127.0,3.0,2007-05-25,USA,lf,"['lf', 'of']",0.30528375733855184,0.36524822695035464,100.0,0.538160469667319,0.9034086966176736,0.45792563600782776,0.6382978723404256,0.6504065040650406,0.6842105263157895,0.25806451612903225,1.0,2.688905054858116
188,cabreme01,2016,CHA,Melky,Cabrera,210,70,B,AL,151.0,175.0,591.0,14.0,86.0,2.0,70.0,42.0,5.0,0.0,47.0,69.0,2.0,0.0,3.0,5.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,0.0,0.0,147.0,4.0,2005-07-07,D.R.,lf,"['lf', 'of']",0.2961082910321489,0.3452566096423017,114.0,0.45516074450084604,0.8004173541431477,0.4441624365482234,0.2978723404255319,0.5691056910569106,0.6466165413533834,0.03225806451612903,1.0,1.990015073900178
499,gardnbr01,2016,NYA,Brett,Gardner,195,71,L,AL,148.0,143.0,547.0,7.0,41.0,16.0,80.0,22.0,6.0,4.0,70.0,106.0,0.0,8.0,4.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,3.0,0.0,147.0,0.0,2008-06-30,USA,lf,"['lf', 'of']",0.26142595978062155,0.35079365079365077,108.0,0.3619744058500914,0.7127680566437422,0.39213893967093233,0.14893617021276595,0.6504065040650406,0.3082706766917293,0.25806451612903225,1.0,1.7578168067695004
652,hollima01,2016,SLN,Matt,Holliday,240,76,R,NL,110.0,94.0,382.0,20.0,62.0,0.0,48.0,20.0,1.0,0.0,35.0,71.0,1.0,8.0,0.0,1.0,9.0,0.0,0.0,10.0,0.0,0.0,0.0,84.0,0.0,0.0,84.0,8.0,2004-04-16,USA,lf,"['1b', 'lf', 'of']",0.24607329842931938,0.3215962441314554,53.0,0.4607329842931937,0.782329228424649,0.3691099476439791,0.425531914893617,0.3902439024390244,0.46616541353383456,0.0,1.0,1.6510511785104551
551,gordoal01,2016,KCA,Alex,Gordon,220,73,L,AL,128.0,98.0,445.0,17.0,40.0,8.0,62.0,16.0,2.0,1.0,52.0,148.0,3.0,8.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,0.0,126.0,0.0,2007-04-02,USA,lf,"['lf', 'of']",0.2202247191011236,0.31225296442687744,63.0,0.3797752808988764,0.6920282453257538,0.33033707865168543,0.3617021276595745,0.5040650406504065,0.3007518796992481,0.12903225806451613,1.0,1.6258883847254306
726,kendrho01,2016,LAN,Howie,Kendrick,220,71,R,NL,146.0,124.0,487.0,8.0,40.0,10.0,65.0,26.0,2.0,2.0,50.0,96.0,2.0,3.0,0.0,3.0,20.0,0.0,0.0,11.0,32.0,17.0,0.0,94.0,0.0,0.0,94.0,1.0,2006-04-26,USA,lf,"['1b', '2b', '3b', 'lf', 'of']",0.2546201232032854,0.3259668508287293,88.0,0.3655030800821355,0.6914699309108647,0.38193018480492813,0.1702127659574468,0.5284552845528455,0.3007518796992481,0.16129032258064516,1.0,1.5426404375951137
578,grossro01,2016,MIN,Robbie,Grossman,215,72,B,AL,99.0,93.0,332.0,11.0,37.0,2.0,49.0,19.0,1.0,3.0,55.0,96.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,1.0,0.0,75.0,19.0,2013-04-24,USA,lf,"['lf', 'of', 'dh']",0.28012048192771083,0.3856041131105398,62.0,0.4427710843373494,0.8283751974478892,0.42018072289156627,0.23404255319148937,0.3983739837398374,0.2781954887218045,0.03225806451612903,1.0,1.3630508130608265
353,dickeal01,2016,SDN,Alex,Dickerson,235,75,L,NL,84.0,65.0,253.0,10.0,37.0,5.0,39.0,16.0,2.0,1.0,26.0,44.0,2.0,4.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,68.0,2.0,2015-08-06,USA,lf,"['lf', 'of']",0.25691699604743085,0.3333333333333333,37.0,0.45454545454545453,0.7878787878787878,0.3853754940711463,0.2127659574468085,0.3170731707317073,0.2781954887218045,0.08064516129032258,0.8308,1.0584851201950944
734,kimhy01,2016,BAL,Hyun Soo,Kim,210,74,L,AL,95.0,92.0,305.0,6.0,22.0,1.0,36.0,16.0,1.0,3.0,36.0,51.0,0.0,4.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,0.0,91.0,0.0,2016-04-10,South Korea,lf,"['lf', 'of']",0.3016393442622951,0.3815028901734104,69.0,0.419672131147541,0.8011750213209514,0.45245901639344266,0.1276595744680851,0.2926829268292683,0.16541353383458646,0.016129032258064516,1.0,1.054344083783447
63,ascheco01,2016,PHI,Cody,Asche,205,73,L,NL,71.0,42.0,197.0,4.0,18.0,3.0,22.0,15.0,0.0,1.0,18.0,54.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,57.0,0.0,2013-07-30,USA,lf,"['lf', 'of']",0.2131979695431472,0.28440366972477066,23.0,0.350253807106599,0.6346574768313696,0.3197969543147208,0.0851063829787234,0.17886178861788618,0.13533834586466165,0.04838709677419355,0.6292,0.4829050657317768
