,playerID,yearID,LastOfteamID,nameFirst,nameLast,weight,height,bats,lgID,G,H,AB,HR,RBI,SB,R,2B,3B,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,debut,birthCountry,prim_pos,other_pos,BA,OBP,1B,SLG,OPS,BA_Scaled,HR_Scaled,R_Scaled,RBI_Scaled,SB_Scaled,Penalty,AdjStars
1378,trumbma01,2016,BAL,Mark,Trumbo,225,76,R,AL,159.0,157.0,613.0,47.0,108.0,2.0,94.0,27.0,1.0,0.0,51.0,170.0,1.0,3.0,0.0,0.0,14.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,95.0,96.0,59.0,2010-09-11,USA,of,"['rf', 'of', 'dh']",0.2561174551386623,0.31634182908545727,82.0,0.533442088091354,0.8497839171768112,0.3841761827079935,1.0,0.7642276422764228,0.8120300751879699,0.03225806451612903,1.0,2.9926919646885155
348,desmoia01,2016,TEX,Ian,Desmond,215,75,R,AL,156.0,178.0,625.0,22.0,86.0,21.0,107.0,29.0,3.0,6.0,44.0,160.0,2.0,5.0,0.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,130.0,0.0,156.0,0.0,2009-09-10,USA,of,"['lf', 'cf', 'of']",0.2848,0.3353028064992615,124.0,0.4464,0.7817028064992615,0.4272,0.46808510638297873,0.8699186991869918,0.6466165413533834,0.3387096774193548,1.0,2.750530024342709
1306,springe01,2016,HOU,George,Springer,215,75,R,AL,162.0,168.0,644.0,29.0,82.0,9.0,116.0,29.0,5.0,10.0,88.0,178.0,2.0,11.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,147.0,148.0,12.0,2014-04-16,USA,of,"['rf', 'of', 'dh']",0.2608695652173913,0.3588709677419355,105.0,0.45652173913043476,0.8153927068723703,0.391304347826087,0.6170212765957447,0.943089430894309,0.6165413533834586,0.14516129032258066,1.0,2.7131176990221797
723,kempma01,2016,ATL,Matt,Kemp,210,76,R,NL,156.0,167.0,623.0,35.0,108.0,1.0,89.0,39.0,0.0,0.0,36.0,156.0,6.0,1.0,0.0,12.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,97.0,151.0,2.0,2006-05-28,USA,of,"['lf', 'rf', 'of']",0.2680577849117175,0.30357142857142855,93.0,0.49919743178170145,0.80276886035313,0.40208667736757625,0.7446808510638298,0.7235772357723578,0.8120300751879699,0.016129032258064516,1.0,2.698503871649798
386,duvalad01,2016,CIN,Adam,Duvall,220,73,R,NL,150.0,133.0,552.0,33.0,103.0,6.0,85.0,31.0,6.0,5.0,41.0,164.0,1.0,6.0,0.0,8.0,7.0,0.0,0.0,5.0,0.0,3.0,0.0,137.0,0.0,6.0,142.0,0.0,2014-06-26,USA,of,"['lf', 'of']",0.24094202898550723,0.29654036243822074,63.0,0.49818840579710144,0.7947287682353221,0.36141304347826086,0.7021276595744681,0.6910569105691057,0.7744360902255639,0.0967741935483871,1.0,2.6258078973957857
1392,uptonju01,2016,DET,Justin,Upton,205,74,R,AL,153.0,140.0,570.0,31.0,87.0,9.0,81.0,28.0,2.0,4.0,50.0,179.0,3.0,4.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,146.0,6.0,0.0,150.0,2.0,2007-08-02,USA,of,"['lf', 'of']",0.24561403508771928,0.30990415335463256,79.0,0.4649122807017544,0.774816434056387,0.3684210526315789,0.6595744680851063,0.6585365853658537,0.6541353383458647,0.14516129032258066,1.0,2.485828734750984
1072,polangr01,2016,PIT,Gregory,Polanco,230,77,L,NL,144.0,136.0,527.0,22.0,86.0,17.0,79.0,34.0,4.0,6.0,53.0,119.0,6.0,0.0,1.0,6.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,5.0,111.0,134.0,4.0,2014-06-10,D.R.,of,"['lf', 'rf', 'of']",0.25806451612903225,0.3225255972696246,76.0,0.4629981024667932,0.7855236997364178,0.3870967741935484,0.46808510638297873,0.6422764227642277,0.6466165413533834,0.27419354838709675,1.0,2.418268393081235
1468,yelicch01,2016,MIA,Christian,Yelich,195,75,L,NL,155.0,172.0,578.0,21.0,98.0,9.0,78.0,38.0,3.0,4.0,72.0,138.0,4.0,4.0,0.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,31.0,0.0,149.0,1.0,2013-07-23,USA,of,"['lf', 'cf', 'of']",0.2975778546712803,0.37632776934749623,110.0,0.4826989619377163,0.8590267312852125,0.4463667820069204,0.44680851063829785,0.6341463414634146,0.7368421052631579,0.14516129032258066,1.0,2.409325029694372
252,cespeyo01,2016,NYN,Yoenis,Cespedes,220,70,R,NL,132.0,134.0,479.0,31.0,86.0,3.0,72.0,25.0,1.0,1.0,51.0,108.0,8.0,7.0,0.0,6.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,63.0,0.0,122.0,4.0,2012-03-28,Cuba,of,"['lf', 'cf', 'of']",0.2797494780793319,0.35359116022099446,77.0,0.5302713987473904,0.8838625589683848,0.4196242171189979,0.6595744680851063,0.5853658536585366,0.6466165413533834,0.04838709677419355,1.0,2.3595681769902175
824,martest01,2016,PIT,Starling,Marte,190,73,R,NL,129.0,152.0,489.0,9.0,46.0,47.0,71.0,34.0,5.0,12.0,23.0,104.0,5.0,16.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,16.0,0.0,123.0,0.0,2012-07-26,D.R.,of,"['lf', 'cf', 'of']",0.310838445807771,0.36174242424242425,104.0,0.4560327198364008,0.817775144078825,0.46625766871165647,0.19148936170212766,0.5772357723577236,0.3458646616541353,0.7580645161290323,1.0,2.3389119805546756
