,playerID,yearID,LastOfteamID,nameFirst,nameLast,weight,height,bats,lgID,W,L,G,GS,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,IBB,WP,HBP,BK,BFP,GF,R,SH,SF,GIDP,BFPG,SPG,IP,ERA,ERARecip,WHIP,WHIPRecip,ERA_Scaled,WHIP_Scaled,SO_Scaled,SV_Scaled,W_Scaled,Penalty,StarterStars,RelieverStars,StarRating
443,brittza01,2016,BAL,Zach,Britton,195,75,L,AL,2.0,1.0,69.0,0.0,0.0,0.0,47.0,201.0,38.0,4.0,1.0,18.0,74.0,3.0,10.0,0,0.0,254.0,63.0,7.0,1.0,0.0,4.0,3.68,0.0,67.0,0.5373134328358209,1.8611111111111112,0.835820895522388,1.1964285714285714,0.18460111317254174,0.10849909584086799,0.2605633802816901,0.9215686274509803,0.09090909090909091,1.0,0.6445726802041908,1.3055779273734809,1.5661413076551711
1980,janseke01,2016,LAN,Kenley,Jansen,270,77,B,NL,3.0,2.0,71.0,0.0,0.0,0.0,47.0,206.0,35.0,14.0,4.0,11.0,104.0,2.0,1.0,2,0.0,251.0,63.0,14.0,3.0,1.0,1.0,3.53,0.0,68.66,1.8351296242353627,0.5449206349206349,0.6699679580541801,1.4926086956521738,0.05273787437052744,0.13849201981287837,0.36619718309859156,0.9215686274509803,0.13636363636363635,1.0,0.6937907136456337,1.2491621579980223,1.615359341096614
1221,familje01,2016,NYN,Jeurys,Familia,240,75,R,NL,3.0,4.0,78.0,0.0,0.0,0.0,51.0,233.0,63.0,22.0,1.0,31.0,84.0,6.0,3.0,1,0.0,321.0,67.0,25.0,2.0,1.0,10.0,4.11,0.0,77.66,2.54957507082153,0.3922222222222222,1.2104043265516353,0.8261702127659575,0.03743970315398887,0.07100457850794506,0.29577464788732394,1.0,0.13636363636363635,1.0,0.5405825659128942,1.2448079180255704,1.5405825659128942
3021,osunaro01,2016,TOR,Roberto,Osuna,215,74,R,AL,4.0,3.0,72.0,0.0,0.0,0.0,36.0,222.0,55.0,22.0,9.0,14.0,82.0,4.0,4.0,3,1.0,288.0,61.0,23.0,1.0,3.0,4.0,4.0,0.0,74.0,2.675675675675676,0.3737373737373737,0.9324324324324325,1.072463768115942,0.03558778883454208,0.09594569803705741,0.2887323943661972,0.7058823529411765,0.18181818181818182,1.0,0.6020840630559785,1.0192340216309579,1.307966415997155
1147,dysonsa01,2016,TEX,Sam,Dyson,205,73,R,AL,3.0,2.0,73.0,0.0,0.0,0.0,38.0,211.0,63.0,19.0,5.0,23.0,55.0,0.0,3.0,3,0.0,285.0,53.0,19.0,1.0,0.0,12.0,3.9,0.0,70.33,2.4313948528366276,0.4112865497076023,1.2228067680932746,0.8177906976744186,0.039349672883507464,0.07015602001766265,0.1936619718309859,0.7450980392156863,0.13636363636363635,1.0,0.43953130109579236,0.9909673684804927,1.1846293403114787
3433,roberda08,2016,CHA,David,Robertson,195,71,R,AL,5.0,3.0,62.0,0.0,0.0,0.0,37.0,187.0,53.0,24.0,6.0,32.0,75.0,4.0,1.0,1,0.0,267.0,48.0,24.0,3.0,2.0,3.0,4.3,0.0,62.33,3.4654259586074123,0.28856481481481483,1.3637092892668057,0.7332941176470589,0.02705473098330241,0.06159940431868951,0.2640845070422535,0.7254901960784313,0.22727272727272727,0.935,0.5423106305918696,0.9737249498406959,1.220643963925203
3470,rodrifr03,2016,DET,Francisco,Rodriguez,195,72,R,AL,3.0,4.0,61.0,0.0,0.0,0.0,44.0,175.0,45.0,21.0,6.0,21.0,52.0,1.0,4.0,1,0.0,235.0,55.0,24.0,0.0,3.0,4.0,3.85,0.0,58.33,3.240185153437339,0.30862433862433863,1.1314932281844676,0.8837878787878788,0.02906440498277233,0.07683927886459532,0.18309859154929578,0.8627450980392157,0.13636363636363635,0.875,0.3721951727902623,0.9668858659689422,1.1270971335745763
1505,gomezje01,2016,PHI,Jeanmar,Gomez,215,75,R,NL,3.0,5.0,70.0,0.0,0.0,0.0,37.0,206.0,78.0,37.0,6.0,22.0,47.0,2.0,3.0,2,0.0,297.0,59.0,38.0,0.0,3.0,10.0,4.24,0.0,68.66,4.849985435479173,0.20618618618618617,1.4564520827264784,0.6866,0.018801584515870228,0.05687088607594937,0.16549295774647887,0.7254901960784313,0.13636363636363635,1.0,0.3775290647019348,0.9375263030338873,1.1030192607803662
2445,madsory01,2016,OAK,Ryan,Madson,225,78,L,AL,6.0,7.0,63.0,0.0,0.0,0.0,30.0,194.0,63.0,26.0,7.0,20.0,49.0,3.0,4.0,2,1.0,270.0,53.0,27.0,2.0,1.0,8.0,4.28,0.0,64.66,3.618929786575936,0.2763247863247863,1.2836374884008661,0.7790361445783133,0.025828457257028686,0.06623150831172793,0.17253521126760563,0.5882352941176471,0.2727272727272727,0.97,0.5212027760767259,0.9244318564412661,1.0917910113708436
64,allenco01,2016,CLE,Cody,Allen,210,73,R,AL,3.0,5.0,67.0,0.0,0.0,0.0,32.0,204.0,41.0,19.0,8.0,27.0,87.0,2.0,3.0,0,0.0,264.0,55.0,23.0,3.0,2.0,7.0,3.94,0.0,68.0,2.514705882352941,0.3976608187134503,1.0,1.0,0.037984571819158285,0.08860759493670886,0.30633802816901406,0.6274509803921569,0.13636363636363635,1.0,0.5692938312885176,0.8904067835116604,1.1967448116806745
