,playerID,yearID,LastOfteamID,nameFirst,nameLast,weight,height,bats,lgID,G,H,AB,HR,RBI,SB,R,2B,3B,CS,BB,SO,IBB,HBP,SH,SF,GIDP,G_p,G_c,G_1b,G_2b,G_3b,G_ss,G_lf,G_cf,G_rf,G_of,G_dh,debut,birthCountry,prim_pos,other_pos,BA,OBP,1B,SLG,OPS,BA_Scaled,HR_Scaled,R_Scaled,RBI_Scaled,SB_Scaled,Penalty,AdjStars
113,bettsmo01,2016,BOS,Mookie,Betts,180,69,R,AL,158.0,214.0,672.0,31.0,113.0,26.0,122.0,42.0,5.0,4.0,49.0,80.0,1.0,2.0,0.0,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,157.0,0.0,2014-06-29,USA,rf,"['rf', 'of']",0.31845238095238093,0.363013698630137,136.0,0.5342261904761905,0.8972398891063275,0.4776785714285714,0.6595744680851063,0.991869918699187,0.849624060150376,0.41935483870967744,1.0,3.398101857072918
1377,troutmi01,2016,LAA,Mike,Trout,235,74,R,AL,159.0,173.0,549.0,29.0,100.0,30.0,123.0,32.0,5.0,7.0,116.0,137.0,12.0,11.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,0.0,148.0,11.0,2011-07-08,USA,cf,"['cf', 'of', 'dh']",0.3151183970856102,0.44052863436123346,107.0,0.5500910746812386,0.9906197090424721,0.47267759562841527,0.6170212765957447,1.0,0.7518796992481203,0.4838709677419355,1.0,3.3254495392142163
59,arenano01,2016,COL,Nolan,Arenado,205,74,R,NL,160.0,182.0,618.0,41.0,133.0,2.0,116.0,35.0,6.0,3.0,68.0,103.0,10.0,2.0,0.0,8.0,17.0,0.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,2013-04-28,USA,3b,['3b'],0.29449838187702265,0.3620689655172414,100.0,0.56957928802589,0.9316482535431314,0.441747572815534,0.8723404255319149,0.943089430894309,1.0,0.03225806451612903,1.0,3.289435493757887
368,doziebr01,2016,MIN,Brian,Dozier,200,71,R,AL,155.0,165.0,615.0,42.0,99.0,18.0,104.0,35.0,5.0,2.0,61.0,138.0,6.0,8.0,2.0,5.0,12.0,0.0,0.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2012-05-07,USA,2b,['2b'],0.2682926829268293,0.33962264150943394,83.0,0.5463414634146342,0.8859641049240681,0.4024390243902439,0.8936170212765957,0.8455284552845529,0.7443609022556391,0.2903225806451613,1.0,3.1762679838521928
174,bryankr01,2016,CHN,Kris,Bryant,230,77,R,NL,155.0,176.0,603.0,39.0,102.0,8.0,121.0,35.0,3.0,5.0,75.0,154.0,5.0,18.0,0.0,3.0,3.0,0.0,0.0,9.0,0.0,107.0,1.0,60.0,1.0,14.0,69.0,1.0,2015-04-17,USA,3b,"['3b', 'lf', 'rf', 'of']",0.29187396351575456,0.38483547925608014,99.0,0.5538971807628524,0.9387326600189325,0.43781094527363185,0.8297872340425532,0.983739837398374,0.7669172932330827,0.12903225806451613,1.0,3.1472875680121577
37,altuvjo01,2016,HOU,Jose,Altuve,165,66,R,AL,161.0,216.0,640.0,24.0,96.0,30.0,108.0,42.0,5.0,10.0,60.0,70.0,11.0,7.0,3.0,7.0,15.0,0.0,0.0,0.0,148.0,0.0,1.0,0.0,0.0,0.0,0.0,13.0,2011-07-20,Venezuela,2b,"['2b', 'dh']",0.3375,0.3963585434173669,145.0,0.53125,0.9276085434173669,0.5062500000000001,0.5106382978723404,0.8780487804878049,0.7218045112781954,0.4838709677419355,1.0,3.100612557380276
412,encared01,2016,TOR,Edwin,Encarnacion,230,73,R,AL,160.0,158.0,601.0,42.0,127.0,2.0,99.0,34.0,0.0,0.0,87.0,138.0,3.0,5.0,0.0,8.0,22.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,2005-06-24,D.R.,dh,"['1b', 'dh']",0.2628951747088186,0.3566333808844508,82.0,0.5291181364392679,0.8857515173237187,0.39434276206322794,0.8936170212765957,0.8048780487804879,0.9548872180451128,0.03225806451612903,1.0,3.0799831146815535
363,donaljo02,2016,TOR,Josh,Donaldson,210,73,R,AL,155.0,164.0,577.0,37.0,99.0,7.0,122.0,32.0,5.0,1.0,109.0,119.0,6.0,9.0,2.0,3.0,16.0,0.0,0.0,0.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,19.0,2010-04-30,USA,3b,"['3b', 'dh']",0.28422876949740034,0.4040114613180516,90.0,0.5493934142114385,0.9534048755294902,0.42634315424610053,0.7872340425531915,0.991869918699187,0.7443609022556391,0.11290322580645161,1.0,3.0627112435605697
1412,villajo01,2016,MIL,Jonathan,Villar,215,73,B,NL,156.0,168.0,589.0,19.0,63.0,62.0,92.0,38.0,3.0,18.0,79.0,174.0,4.0,2.0,5.0,4.0,7.0,0.0,0.0,0.0,11.0,42.0,108.0,0.0,0.0,0.0,0.0,0.0,2013-07-22,D.R.,ss,"['2b', '3b', 'ss']",0.28522920203735147,0.3694362017804154,108.0,0.4567062818336163,0.8261424836140316,0.4278438030560272,0.40425531914893614,0.7479674796747967,0.47368421052631576,1.0,1.0,3.0537508124060757
522,goldspa01,2016,ARI,Paul,Goldschmidt,225,75,R,NL,158.0,172.0,579.0,24.0,95.0,32.0,106.0,33.0,3.0,5.0,110.0,150.0,15.0,7.0,0.0,8.0,14.0,0.0,0.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2011-08-01,USA,1b,['1b'],0.2970639032815199,0.41051136363636365,112.0,0.48877374784110533,0.8992851114774689,0.4455958549222798,0.5106382978723404,0.8617886178861789,0.7142857142857143,0.5161290322580645,1.0,3.0484375172245777
1378,trumbma01,2016,BAL,Mark,Trumbo,225,76,R,AL,159.0,157.0,613.0,47.0,108.0,2.0,94.0,27.0,1.0,0.0,51.0,170.0,1.0,3.0,0.0,0.0,14.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,95.0,96.0,59.0,2010-09-11,USA,of,"['rf', 'of', 'dh']",0.2561174551386623,0.31634182908545727,82.0,0.533442088091354,0.8497839171768112,0.3841761827079935,1.0,0.7642276422764228,0.8120300751879699,0.03225806451612903,1.0,2.9926919646885155
316,cruzne02,2016,SEA,Nelson,Cruz,230,74,R,AL,155.0,169.0,589.0,43.0,105.0,2.0,96.0,27.0,1.0,0.0,62.0,159.0,5.0,9.0,0.0,7.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,48.0,107.0,2005-09-17,D.R.,dh,"['rf', 'of', 'dh']",0.2869269949066214,0.3598200899550225,98.0,0.5551782682512734,0.9149983582062959,0.4303904923599321,0.9148936170212766,0.7804878048780488,0.7894736842105263,0.03225806451612903,1.0,2.947503662985913
928,myerswi01,2016,SDN,Wil,Myers,205,75,R,NL,157.0,155.0,599.0,28.0,94.0,28.0,99.0,29.0,4.0,6.0,68.0,160.0,1.0,4.0,0.0,5.0,12.0,0.0,0.0,149.0,0.0,1.0,0.0,3.0,0.0,7.0,10.0,0.0,2013-06-18,USA,1b,"['1b', 'of']",0.2587646076794658,0.33579881656804733,94.0,0.4607679465776294,0.7965667631456768,0.3881469115191987,0.5957446808510638,0.8048780487804879,0.706766917293233,0.45161290322580644,1.0,2.94714946166979
216,canoro01,2016,SEA,Robinson,Cano,210,72,L,AL,161.0,195.0,655.0,39.0,103.0,0.0,107.0,33.0,2.0,1.0,47.0,100.0,8.0,8.0,0.0,5.0,18.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2005-05-03,D.R.,2b,['2b'],0.29770992366412213,0.34965034965034963,121.0,0.5328244274809161,0.8824747771312658,0.44656488549618323,0.8297872340425532,0.8699186991869918,0.7744360902255639,0.0,1.0,2.920706908951292
965,ortizda01,2016,BOS,David,Ortiz,230,75,L,AL,151.0,169.0,537.0,38.0,127.0,2.0,79.0,48.0,1.0,0.0,80.0,86.0,15.0,2.0,0.0,7.0,22.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,1997-09-02,D.R.,dh,['dh'],0.31471135940409684,0.4009584664536741,82.0,0.6201117318435754,1.0210701982972494,0.4720670391061453,0.8085106382978723,0.6422764227642277,0.9548872180451128,0.03225806451612903,1.0,2.909999382729487
119,blackch02,2016,COL,Charlie,Blackmon,210,75,L,NL,143.0,187.0,578.0,29.0,82.0,17.0,111.0,35.0,5.0,9.0,43.0,102.0,4.0,13.0,3.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,0.0,138.0,0.0,2011-06-07,USA,cf,"['cf', 'of']",0.3235294117647059,0.38087774294670845,118.0,0.5519031141868512,0.9327808571335596,0.4852941176470589,0.6170212765957447,0.9024390243902439,0.6165413533834586,0.27419354838709675,1.0,2.8954893204036027
459,frazito01,2016,CHA,Todd,Frazier,220,75,R,AL,158.0,133.0,590.0,40.0,98.0,15.0,89.0,21.0,0.0,5.0,64.0,163.0,1.0,4.0,1.0,7.0,11.0,0.0,0.0,7.0,0.0,149.0,0.0,0.0,0.0,0.0,0.0,2.0,2011-05-23,USA,3b,['3b'],0.22542372881355932,0.3022556390977444,72.0,0.46440677966101696,0.7666624187587614,0.338135593220339,0.851063829787234,0.7235772357723578,0.7368421052631579,0.24193548387096775,1.0,2.8915542479140566
194,cabremi01,2016,DET,Miguel,Cabrera,240,76,R,AL,158.0,188.0,595.0,38.0,108.0,0.0,92.0,31.0,1.0,0.0,75.0,116.0,15.0,4.0,0.0,5.0,26.0,0.0,0.0,147.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,2003-06-20,Venezuela,1b,['1b'],0.31596638655462184,0.39322533136966126,118.0,0.5630252100840336,0.9562505414536948,0.47394957983193275,0.8085106382978723,0.7479674796747967,0.8120300751879699,0.0,1.0,2.8424577729925717
